MatchID,EventID,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
4907,176,4894,1159,Keyd Stars,eRa Eternity,1,0
4905,176,417,1156,Black Dragons,LAETUS Gaming,1,0
4856,186,17,1152,Gen.G,Equinox Esports,2,1
4854,186,188,533,Cloud9,XSET,2,0
4855,186,120,642,100 Thieves,Luminosity,2,0
4831,202,1189,1316,eXiLe eSports,QLASH,1,0
4882,203,799,918,Velocity Gaming,Global Esports,2,1
4842,177,439,2499,Opportunists,Movistar Riders,2,0
4689,177,682,4616,Gambit Esports,UCAM Esports Club,1,0
4688,177,547,1071,ex-Giants Gaming,unsigned,1,0
4687,177,2499,703,Movistar Riders,Wizards Club,1,0
4737,152,547,4616,ex-Giants Gaming,UCAM Esports Club,2,0
4209,149,986,988,euphoria,MUTED,2,0
4736,152,4616,548,UCAM Esports Club,Wygers,2,0
4735,152,548,353,Wygers,B7 Warriors,2,1
4750,122,1146,914,Godlike Esports,Team Tamilas,1,3
4751,101,591,1352,Mindfreak,Dire Wolves,2,0
3890,101,378,656,EXO Clan,Avant,2,0
3218,146,624,617,Paper Rex,Team SMG,2,3
4731,152,548,1253,Wygers,Eazy One Gaming,2,1
4732,152,1035,353,Cream Real Betis,B7 Warriors,1,2
4733,152,547,4616,ex-Giants Gaming,UCAM Esports Club,2,0
4744,179,682,1209,Gambit Esports,Guild Esports,2,1
4730,152,4616,548,UCAM Esports Club,Wygers,1,0
4729,152,547,1035,ex-Giants Gaming,Cream Real Betis,1,0
4734,152,353,756,B7 Warriors,ehehxd,2,0
4728,152,1253,2499,Eazy One Gaming,Movistar Riders,2,1
4742,179,682,876,Gambit Esports,Enterprise Esports,2,1
4740,179,1010,1251,Inside Games,Guess,2,0
4724,152,547,1253,ex-Giants Gaming,Eazy One Gaming,1,0
4551,186,427,188,Envy,Cloud9,1,2
4702,198,1309,495,Mix,Fusion Fraggers,1,2
4721,201,1209,685,Guild Esports,HSDIRR,1,2
4722,186,17,106,Gen.G,TSM,1,2
4723,201,478,1346,Lunaris,hREDS,1,0
4720,201,685,1346,HSDIRR,hREDS,1,0
4701,198,495,249,Fusion Fraggers,Falkol eSports,2,0
4550,186,106,188,TSM,Cloud9,1,2
4700,198,1309,839,Mix,NO CONTRACT,2,1
4460,152,756,1317,ehehxd,Team White,2,0
3668,169,496,880,ahq e-Sports Club,MiTH.Attitude,2,1
3667,169,880,497,MiTH.Attitude,Attack All Around,1,0
3666,169,496,1167,ahq e-Sports Club,4Q,1,0
4547,186,106,120,TSM,100 Thieves,2,0
4548,186,188,1312,Cloud9,Slimy Boogermen,2,1
4631,198,495,1310,Fusion Fraggers,ME CONTRATA,2,1
4546,186,427,14,Envy,T1,2,1
4296,178,1001,50,Team Heretics,need more DM,2,0
4295,178,547,2499,ex-Giants Gaming,Movistar Riders,2,1
4540,186,14,642,T1,Luminosity,2,1
4630,198,839,792,NO CONTRACT,tiobarão,2,0
4537,186,2,302,Sentinels,Spot Up,2,0
4538,186,17,533,Gen.G,XSET,2,0
4539,186,427,470,Envy,Complexity,2,1
4543,186,188,1152,Cloud9,Equinox Esports,2,1
4544,186,1312,473,Slimy Boogermen,Built By Gamers,2,1
4541,186,106,468,TSM,Renegades,2,1
4521,186,2,502,Sentinels,Shiba,2,0
4522,186,674,302,Spacestation Gaming,Spot Up,1,2
4523,186,17,837,Gen.G,Serenity,2,0
4524,186,103,533,Immortals,XSET,1,2
4525,186,427,259,Envy,Destined,2,0
4526,186,470,1034,Complexity,NRG Esports,2,1
4527,186,14,976,T1,Orgles5,2,0
4528,186,642,856,Luminosity,Andbox,2,0
4529,186,106,3597,TSM,Noble,2,0
4530,186,468,637,Renegades,Rise,2,0
4531,186,632,940,Dignitas,Team 2D,2,0
4532,186,120,793,100 Thieves,Moon Raccoons,2,1
4533,186,188,836,Cloud9,DimmaDome$,2,0
4534,186,337,1152,FaZe Clan,Equinox Esports,1,2
4536,186,473,423,Built By Gamers,Mamba Mode Gaming,2,1
4629,198,1309,203,Mix,paiN Gaming,2,1
4378,177,682,1316,Gambit Esports,QLASH,1,0
4379,177,1232,1063,VETERANOS e-Sports,S2V Esports,1,0
4207,149,988,984,MUTED,Team Toxic,1,2
4458,152,756,1253,ehehxd,Eazy One Gaming,2,0
4206,149,981,986,CR4ZY,euphoria,2,0
4374,177,682,1232,Gambit Esports,VETERANOS e-Sports,1,0
4372,177,703,1063,Wizards Club,S2V Esports,1,0
4373,177,1316,1232,QLASH,VETERANOS e-Sports,1,0
4387,190,935,1184,Anatolia Esports,Futbolist,1,2
4659,164,651,1059,Cloud9 Korea,SeolHaeOne Prince,1,0
4660,164,261,614,Quantum Strikers ,T1 Korea,1,0
4614,186,423,743,Mamba Mode Gaming,L8R Bot,2,0
4583,186,427,1307,Envy,Sovereign,2,0
4599,186,302,1272,Spot Up,the boomzers,2,0
4582,186,632,1303,Dignitas,Premier Esports,2,0
4600,186,188,4964,Cloud9,Exotic,2,0
4603,186,14,1302,T1,Most Prolific,2,0
4622,198,839,1306,NO CONTRACT,pokas ideia,1,0
4581,186,1267,1026,Cloud9 White ,Hollywood Hooliganz,2,0
4593,186,106,1030,TSM,Take Flyte,2,0
4594,186,2,1297,Sentinels,Sakura Storm,2,1
4596,186,1034,957,NRG Esports,Kudos,2,1
4371,177,1010,110,Inside Games,Team Tomorrow BIG(FishkaVTom),1,0
4562,186,1272,1273,the boomzers,steven edge le,2,0
4563,186,2,1274,Sentinels,Orange Borange,2,0
4564,186,427,1277,Envy,Hello Kity,2,0
4566,186,14,1278,T1,The Boys,2,0
4567,186,106,1279,TSM,NBP,2,0
4568,186,632,1280,Dignitas,Team Fight,2,0
4569,186,120,1281,100 Thieves,HotThots,2,0
4570,186,188,1282,Cloud9,SHORTYKINGS,2,0
4571,186,1267,1283,Cloud9 White ,Penn State University,2,0
4368,177,2499,1010,Movistar Riders,Inside Games,1,0
4369,177,4616,4538,UCAM Esports Club,Team Queso,1,0
4364,177,2499,4616,Movistar Riders,UCAM Esports Club,1,0
4383,190,921,1230,Oxygen Esports,HaZe Clan,2,1
3892,101,859,865,Akatsuki,Paradox Esports,2,0
4490,199,368,367,Estral Esports,9z Team,3,0
4356,177,547,439,ex-Giants Gaming,Opportunists,1,0
4494,158,793,423,Moon Raccoons,Mamba Mode Gaming,2,0
4495,158,468,484,Renegades,Pretty Boyz,1,2
4354,177,439,504,Opportunists,Totem Providence,1,0
4351,177,547,504,ex-Giants Gaming,Totem Providence,1,0
4350,177,439,1164,Opportunists,Awake Esports,1,0
4447,158,793,631,Moon Raccoons,beastcoast,2,1
4448,158,837,423,Serenity,Mamba Mode Gaming,1,2
4449,158,468,1240,Renegades,Team Name,2,0
4450,158,6419,484,Elysium,Pretty Boyz,1,2
4348,177,641,547,Entropiq Bravo,ex-Giants Gaming,1,0
4349,177,504,1164,Totem Providence,Awake Esports,1,0
4384,190,1237,1238,Sangal Esports,Designated,2,0
4337,137,991,1107,Exodus,King of Gamers,1,2
4336,137,1111,623,MiTH.Streamer,Sharper Esport,1,2
4335,137,1110,991,Alter Ego,Exodus,2,0
4439,158,793,743,Moon Raccoons,L8R Bot,2,0
4440,158,631,259,beastcoast,Destined,2,1
4441,158,837,948,Serenity,Team FYB,2,0
4442,158,423,1166,Mamba Mode Gaming,Time In,2,1
4443,158,468,637,Renegades,Rise,2,0
4444,158,1240,3597,Team Name,Noble,2,1
4445,158,6419,949,Elysium,Mystify,2,0
4446,158,484,1302,Pretty Boyz,Most Prolific,2,0
4412,199,367,1249,9z Team,Decent Esports,2,1
4411,199,368,720,Estral Esports,Bencheados,2,0
4395,158,949,1029,Mystify,Lycus Empire(EGO BOYZ CLUB),2,0
4405,158,3597,957,Noble,Kudos,2,0
4410,158,259,952,Destined,Team Flux,2,1
4422,158,1166,1246,Time In,DREAMLAND,2,0
4427,158,1247,637,Dog Team Needs Club Org,Rise,1,2
4432,158,940,743,Team 2D,L8R Bot,1,2
4393,158,793,949,Moon Raccoons,Mystify,2,1
4403,158,423,3597,Mamba Mode Gaming,Noble,2,0
4408,158,484,259,Pretty Boyz,Destined,2,1
4415,158,631,1312,beastcoast,Slimy Boogermen,2,0
4420,158,1166,1240,Time In,Team Name,1,2
4430,158,940,6419,Team 2D,Elysium,1,2
3941,161,685,832,Flayn eSports(HSDIRR),Austrian Force(alltheRAGE),3,1
4328,177,50,1071,need more DM,unsigned,1,0
4327,177,1071,606,unsigned,BeeNinjas,1,0
4326,177,50,548,need more DM,Wygers,1,0
4298,190,935,1228,Anatolia Esports,come next,2,0
4299,190,397,1231,BBL Esports,BULLS Esports,2,0
4300,190,921,1184,Oxygen Esports,Futbolist,2,0
4301,190,1229,1230,PARA LAZIM,HaZe Clan,1,2
4236,137,991,623,Exodus,Sharper Esport,2,0
4234,137,1111,1181,MiTH.Streamer,ROC Team,2,0
4024,175,614,651,T1 Korea,Cloud9 Korea,1,2
4219,178,2499,4538,Movistar Riders,Team Queso,1,0
4217,178,1001,2499,Team Heretics,Movistar Riders,1,0
3940,161,832,324,Austrian Force(alltheRAGE),Wave Esports,2,0
4216,178,2499,4538,Movistar Riders,Team Queso,1,0
4215,178,1001,832,Team Heretics,alltheRAGE,1,0
4022,175,614,517,T1 Korea,Lunatic-Hai,2,1
4132,183,2499,353,Movistar Riders,B7 Warriors,2,1
4213,178,50,1035,need more DM,Cream Real Betis,1,0
4212,178,547,1163,ex-Giants Gaming,Arctic Gaming,1,0
4210,178,547,50,ex-Giants Gaming,need more DM,1,0
4164,164,651,198,Cloud9 Korea,DRX Vision Strikers,1,2
